book_id,title,authors,original_publication_year,average_rating,work_ratings_count,work_text_reviews_count,rating,deviation
341,The Iliad,"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",-750.0,3.83,273565,4763,3.7386271870794077,-0.0913728129205924
353,Othello,William Shakespeare,1603.0,3.88,256757,4334,3.903046280023433,0.02304628002343323
361,Oliver Twist,"Charles Dickens, George Cruikshank, Philip Horne",1838.0,3.85,253163,5342,3.764396375328851,-0.0856036246711489
451,Northanger Abbey,"Jane Austen, Alfred MacAdam",1817.0,3.8,232299,8616,3.7193511882308563,-0.08064881176914351
471,Mansfield Park,"Jane Austen, Kathryn Sutherland, Tony Tanner, Claire Lamont",1814.0,3.84,224467,7046,3.757798165137615,-0.08220183486238497
478,Robinson Crusoe,"Daniel Defoe, Gerald McCann, Virginia Woolf",1719.0,3.66,196865,4603,3.588390501319261,-0.07160949868073896
479,The Prince,"Niccolò Machiavelli, Adolph Caso, Rufus Goodwin, Benjamin Martinez",1513.0,3.78,181980,5389,3.6290543627227043,-0.15094563727729549
498,War and Peace,"Leo Tolstoy, Henry Gifford, Aylmer Maude, Louise Maude",1869.0,4.11,192992,8062,4.016680567139283,-0.0933194328607172
529,Gulliver's Travels,"Jonathan Swift, Robert DeMaria Jr.",1726.0,3.55,188299,3927,3.518258426966292,-0.03174157303370784
530,Much Ado About Nothing,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Gail Kern Paster, Robert          Jackson",1598.0,4.06,185702,2686,4.017433234421365,-0.042566765578635035
560,Madame Bovary,"Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall",1856.0,3.64,186553,7617,3.6010165184243963,-0.03898348157560383
576,Candide,Voltaire,1759.0,3.76,171617,5504,3.6814317673378074,-0.07856823266219237
590,David Copperfield,"Charles Dickens, Jeremy Tambling",1849.0,3.96,164400,4623,3.8777495769881556,-0.08225042301184438
597,Don Quixote,"Miguel de Cervantes Saavedra, Roberto González Echevarría, John Rutherford",1605.0,3.85,159253,5429,3.775939177101968,-0.07406082289803217
614,The Trial,"Franz Kafka, Edwin Muir, Willa Muir, Max Brod",1925.0,3.98,159270,4717,3.9065308568004795,-0.07346914319952047
646,The Canterbury Tales,"Geoffrey Chaucer, Nevill Coghill",1390.0,3.48,158661,2615,3.444362835108336,-0.0356371648916638
714,King Lear,William Shakespeare,1603.0,3.89,147282,3079,3.894127732533219,0.004127732533218964
770,Julius Caesar,"William Shakespeare, Roma Gill",1599.0,3.65,135918,3044,3.646265060240964,-0.003734939759036049
772,The Republic,"Plato, Desmond Lee",-380.0,3.9,122747,2261,3.708595387840671,-0.1914046121593289
773,The Taming of the Shrew,William Shakespeare,1593.0,3.81,134240,2370,3.7892134831460673,-0.020786516853932735
792,The Complete Grimm's Fairy Tales,"Jacob Grimm, Wilhelm Grimm, Josef Scharl, Padraic Colum, Joseph Campbell, Margaret Raine Hunt, James Stern",1812.0,4.31,128007,1851,4.264234383637369,-0.045765616362630546
804,The Tempest,William Shakespeare,1623.0,3.8,135537,2831,3.7837969741337236,-0.0162030258662762
819,Walden,Henry David Thoreau,1854.0,3.79,120653,3620,3.680042803638309,-0.10995719636169099
824,"Oedipus Rex  (The Theban Plays, #1)","Sophocles, J.E. Thomas",-430.0,3.67,134384,2129,3.6305361305361306,-0.03946386946386937
839,The Merchant of Venice,"William Shakespeare, Robert          Jackson, Barbara A. Mowat, Paul Werstine",1596.0,3.78,128289,2616,3.7668067226890756,-0.013193277310924234
855,Twelfth Night,William Shakespeare,1601.0,3.97,128893,2615,3.918225547835382,-0.05177445216461818
872,The Plague,"Albert Camus, Stuart Gilbert",1947.0,3.97,111823,3494,3.919434628975265,-0.05056537102473513
959,A Portrait of the Artist as a Young Man,"James Joyce, Seamus Deane",1916.0,3.6,103232,3934,3.5255131964809383,-0.07448680351906178
961,Middlemarch,"George Eliot, Michel Faber",1871.0,3.93,107160,5292,3.8810732414793327,-0.04892675852066741
977,Inferno (The Divine Comedy #1),"Dante Alighieri, Anthony M. Esolen",1320.0,3.99,109200,3576,3.921122994652406,-0.068877005347594
984,Paradise Lost,"John Milton, John      Leonard",1667.0,3.8,104580,2645,3.6856617647058822,-0.11433823529411757
1088,Far from the Madding Crowd,"Thomas Hardy, Rosemarie Morgan, Shannon Russell",1874.0,3.92,97459,4277,3.8807631160572336,-0.039236883942766365
1113,Thus Spoke Zarathustra,"Friedrich Nietzsche, Walter Kaufmann",1883.0,4.05,79615,2185,3.9144021739130435,-0.13559782608695636
1135,Dubliners,"James Joyce, Jeri Johnson",1914.0,3.85,91256,4078,3.793602437166794,-0.056397562833206294
1167,The Divine Comedy,"Dante Alighieri, Allen Mandelbaum, Eugenio Montale",1308.0,4.06,88924,2745,3.929609793420046,-0.13039020657995382
1178,The Prince and the Pauper,"Mark Twain, Everett H. Emerson",1881.0,3.84,90583,1565,3.834843205574913,-0.005156794425086986
1214,Ulysses,James Joyce,1922.0,3.74,86484,5077,3.587289992695398,-0.15271000730460216
1280,The Aeneid,"Virgil, Robert Fitzgerald",-17.0,3.81,85351,1804,3.747927031509121,-0.06207296849087918
1314,The Origin of Species,Charles Darwin,1859.0,3.97,74056,1729,3.931873479318735,-0.03812652068126532
1432,The Communist Manifesto,"Karl Marx, Friedrich Engels, Gareth Stedman Jones",1848.0,3.51,70077,2910,3.370012091898428,-0.1399879081015718
1454,Pygmalion,George Bernard Shaw,1912.0,3.9,75603,1664,3.8846153846153846,-0.01538461538461533
1477,Bleak House,"Charles Dickens, Nicola Bradbury, Hablot Knight Browne",1853.0,4.0,75694,3125,3.8813905930470347,-0.11860940695296529
1492,The Complete Poems of Emily Dickinson,"Emily Dickinson, Thomas H. Johnson",1890.0,4.21,62149,614,4.171270718232044,-0.03872928176795565
1518,One Day in the Life of Ivan Denisovich,"Aleksandr Solzhenitsyn, H.T. Willetts",1962.0,3.94,72038,2915,3.8405797101449277,-0.09942028985507223
1521,"Antigone (The Theban Plays, #3)","Sophocles, J.E. Thomas",-441.0,3.6,78535,1893,3.518048780487805,-0.0819512195121952
1580,A Doll's House,"Henrik Ibsen, Michael   Meyer",1879.0,3.69,79492,2701,3.6213991769547325,-0.06860082304526749
1622,A Connecticut Yankee in King Arthur's Court,Mark Twain,1889.0,3.76,75361,2050,3.769161406672678,0.009161406672678396
1624,Nausea,"Jean-Paul Sartre, Lloyd Alexander, Hayden Carruth",1938.0,3.91,60910,1959,3.813533834586466,-0.09646616541353392
1666,Shakespeare's Sonnets,"William Shakespeare, Katherine Duncan-Jones",1592.0,4.24,63657,755,4.2109181141439205,-0.029081885856079737
1783,The Portrait of a Lady,"Henry James, Patricia Crick",1881.0,3.76,59317,2105,3.708705357142857,-0.05129464285714258
1878,The Turn of the Screw,Henry James,1898.0,3.45,66011,4401,3.4112458654906286,-0.038754134509371596
1885,As You Like It,William Shakespeare,1599.0,3.83,61497,1312,3.775292864749734,-0.05470713525026616
1967,Meditations,"Marcus Aurelius, Martin Hammond, Diskin Clay",180.0,4.2,55309,2613,4.128089887640449,-0.07191011235955092
1973,The Interpretation of Dreams,Sigmund Freud,1899.0,3.81,44144,571,3.5842391304347827,-0.22576086956521735
2002,The Death of Ivan Ilych,"Leo Tolstoy, Aylmer Maude",1886.0,4.04,55750,2623,3.9785831960461286,-0.06141680395387139
2052,"The Oedipus Cycle: Oedipus Rex/Oedipus at Colonus/Antigone (The Theban Plays, #1–3)","Sophocles, Dudley Fitts, Elena Bono, Robert Fitzgerald",-401.0,3.96,50789,1122,3.911908646003263,-0.04809135399673714
2142,The Iliad/The Odyssey,"Homer, Robert Fagles, Bernard Knox",-762.0,4.03,51098,537,3.9537037037037037,-0.07629629629629653
2168,"A Christmas Carol, The Chimes and The Cricket on the Hearth","Charles Dickens, Katharine Kroeber Wiley",1843.0,4.11,48945,263,4.095870206489676,-0.014129793510324618
2209,The Complete Works,William Shakespeare,1623.0,4.49,46010,726,4.527121001390821,0.03712100139082075
2286,The Sorrows of Young Werther,"Johann Wolfgang von Goethe, Burton Pike",1774.0,3.63,53664,2541,3.6082004555808656,-0.021799544419134342
2297,Faust: First Part,"Johann Wolfgang von Goethe, Peter Salm",1808.0,3.93,48935,815,3.9,-0.03000000000000025
2342,Beyond Good and Evil,"Friedrich Nietzsche, R.J. Hollingdale, Michael Tanner",1886.0,4.01,43322,1080,3.8618677042801557,-0.1481322957198441
2355,Silas Marner,George Eliot,1861.0,3.6,55276,2616,3.5120772946859904,-0.0879227053140097
2366,Metamorphoses,"Ovid, David Raeburn, Denis Feeney",8.0,4.03,47948,1121,3.9603803486529316,-0.0696196513470686
2709,The Red and the Black,"Stendhal, Roger Gard",1830.0,3.87,42298,1273,3.7404580152671754,-0.12954198473282474
2732,Utopia,"Thomas More, Paul Turner",1516.0,3.5,44234,1887,3.39460370994941,-0.10539629005059004
2763,Medea,"Euripides, Rex Warner",-431.0,3.83,42957,1037,3.795411089866157,-0.03458891013384324
2846,Hard Times,Charles Dickens,1854.0,3.5,42170,2098,3.4081632653061225,-0.09183673469387754
2952,The Mill on the Floss,"George Eliot, A.S. Byatt",1860.0,3.77,38983,1424,3.692015209125475,-0.07798479087452481
2982,Eugene Onegin,"Alexander Pushkin, James E. Falen",1833.0,4.08,37931,921,4.039274924471299,-0.04072507552870075
3020,The Metamorphosis and Other Stories,"Franz Kafka, Jason Baker, Donna Freed",1915.0,4.01,39100,1268,3.8648018648018647,-0.14519813519813507
3037,The Tell-Tale Heart,"Edgar Allan Poe, Byron Glaser, Bill D. Fountain",1843.0,4.22,39717,1077,4.189409368635438,-0.030590631364561638
3041,Leonardo's Notebooks,"Leonardo da Vinci, H. Anna Suh",1519.0,3.97,27803,114,4.068181818181818,0.09818181818181815
3077,The Rime of the Ancient Mariner,"Samuel Taylor Coleridge, Gustave Doré",1798.0,3.93,39669,713,3.813620071684588,-0.11637992831541233
3088,Little Dorrit,"Charles Dickens, Helen Small, Stephen Wall",1855.0,3.97,36523,1184,3.9238578680203045,-0.046142131979695744
3252,The Adventures of Tom Sawyer & Adventures of Huckleberry Finn,Mark Twain,1876.0,4.07,33289,521,4.038054968287526,-0.03194503171247387
3256,Confessions,"Augustine of Hippo, Henry Chadwick, Albert Cook Outler",397.0,3.88,33636,1554,3.6561679790026247,-0.2238320209973752
3323,A Christmas Carol and Other Christmas Writings,"Charles Dickens, Michael Slater",1843.0,4.13,32002,578,4.0359281437125745,-0.09407185628742543
3379,Père Goriot,Honoré de Balzac,1834.0,3.82,33729,1091,3.7574850299401197,-0.06251497005988016
3404,The Histories,"Herodotus, Aubrey de Sélincourt, John M. Marincola",-440.0,3.97,31985,864,3.8284789644012944,-0.14152103559870577
3482,The Castle,"Franz Kafka, Mark Harman, Regaip Minareci, Şerif Yeşilbucak",1926.0,3.97,31641,1272,3.9193548387096775,-0.050645161290322704
3484,A Modest Proposal,Jonathan Swift,1729.0,4.05,33704,799,4.0,-0.04999999999999982
3508,"Swann's Way (In Search of Lost Time, #1)","Marcel Proust, Simon Vance, Lydia Davis",1913.0,4.14,31697,2371,4.024193548387097,-0.1158064516129027
3552,Leviathan,"Thomas Hobbes, C.B. Macpherson",1651.0,3.66,28699,505,3.569364161849711,-0.09063583815028897
3642,Moll Flanders,Daniel Defoe,1722.0,3.5,34246,1187,3.4488977955911824,-0.05110220440881763
3700,Richard III,"William Shakespeare, John Jowett",1591.0,3.92,34610,1201,3.853932584269663,-0.06606741573033714
3715,Nicholas Nickleby,"Charles Dickens, Mark Ford",1839.0,3.89,33384,1100,3.810457516339869,-0.07954248366013106
3717,The Social Contract,"Jean-Jacques Rousseau, Maurice Cranston",1762.0,3.75,27347,525,3.632716049382716,-0.11728395061728403
3720,The Federalist Papers,"Alexander Hamilton, James Madison, John Jay, Philo-Publius, Clinton Rossiter, Charles R. Kessler",1787.0,4.05,28020,569,3.903703703703704,-0.14629629629629592
3755,Bartleby the Scrivener,Herman Melville,1853.0,3.9,31730,1915,3.8465608465608465,-0.0534391534391534
3853,Walden & Civil Disobedience,"Henry David Thoreau, W.S. Merwin",1854.0,3.96,29184,817,3.9210526315789473,-0.03894736842105262
3868,The Symposium,"Plato, Christopher Gill",-385.0,4.01,28002,914,3.901098901098901,-0.10890109890109878
3930,The Nicomachean Ethics,"Aristotle, J.A.K. Thomson, Jonathan Barnes, Hugh Tredennick",-350.0,3.91,25469,626,3.7942238267148016,-0.11577617328519851
3948,Henry V,"William Shakespeare, Barbara A. Mowat, Paul Werstine",1599.0,3.87,33067,941,3.815068493150685,-0.05493150684931525
3949,Politics,Aristotle,-350.0,3.91,24041,289,3.706713780918728,-0.2032862190812721
4071,Civilization and Its Discontents,"Sigmund Freud, James Strachey, Peter Gay",1930.0,3.76,24217,700,3.672,-0.08799999999999963
4149,"The Oresteia  (Ορέστεια, #1-3)","Aeschylus, Robert Fagles, William Bedell Stanford",-458.0,3.99,28162,705,3.970873786407767,-0.01912621359223321
4244,Hedda Gabler,"Henrik Ibsen, William Archer",1890.0,3.79,26117,456,3.713864306784661,-0.0761356932153392
4270,A History of Western Philosophy,Bertrand Russell,1945.0,4.05,22493,686,3.9444444444444446,-0.10555555555555518
4330,The Trial and Death of Socrates,"Plato, G.M.A. Grube, John M. Cooper",-400.0,4.06,22697,319,3.992094861660079,-0.06790513833992051
4332,History of the Peloponnesian War,"Thucydides, Rex Warner, Moses I. Finley",-411.0,3.87,24453,584,3.742957746478873,-0.12704225352112708
4348,The Magic Mountain,"Thomas Mann, John E. Woods",1924.0,4.14,25291,1426,3.9746031746031747,-0.165396825396825
4485,Being and Nothingness,"Jean-Paul Sartre, Hazel E. Barnes, Mary Warnock, Richard Eyre",1943.0,3.94,21146,311,3.9038461538461537,-0.0361538461538462
4503,"The History of Tom Jones, a Foundling","Henry Fielding, Thomas Keymer, Alice Wakely",1749.0,3.73,26988,765,3.7084548104956268,-0.02154518950437323
4537,Lysistrata,"Aristophanes, Sarah Ruden",-411.0,3.84,28283,653,3.8485714285714288,0.008571428571428896
4584,No Exit and Three Other Plays,"Jean-Paul Sartre, Stuart Gilbert, Lionel Abel",1947.0,4.09,22459,572,4.027522935779817,-0.06247706422018329
4592,The House of the Seven Gables,"Nathaniel Hawthorne, Robert S. Levine",1851.0,3.45,28715,1651,3.458980044345898,0.00898004434589783
4653,The Complete Novels,Jane Austen,1813.0,4.55,22713,588,4.525679758308157,-0.02432024169184288
4684,The Wealth of Nations,Adam Smith,1776.0,3.87,20550,667,3.7444444444444445,-0.12555555555555564
4695,Discourse on Method and Meditations on First Philosophy,"René Descartes, Donald A. Cress",1637.0,3.67,21289,306,3.5762711864406778,-0.09372881355932217
4727,Critique of Pure Reason,"Immanuel Kant, Paul Guyer, Allen W. Wood",1781.0,3.92,21509,454,3.7222222222222223,-0.1977777777777776
4733,On Liberty,John Stuart Mill,1859.0,3.93,21567,566,3.7966101694915255,-0.13338983050847464
4870,Shirley,"Charlotte Brontë, Lucasta Miller, collaborative, Jessica Cox",1849.0,3.71,24088,651,3.6968325791855206,-0.013167420814479414
4880,Apology,"Plato, James J. Helm",-390.0,4.15,22265,671,4.094972067039106,-0.055027932960894255
4939,The Complete Stories,"Franz Kafka, Nahum N. Glatzer, John Updike, Willa Muir, Edwin Muir, Tania Stern, James Stern, Ernst Kaiser, Eithne Wilkins",1946.0,4.34,20541,485,4.2926829268292686,-0.047317073170731305
4999,Tartuffe,"Molière, Martin Sorrell",1664.0,3.66,24740,565,3.6618181818181816,0.0018181818181814968
5386,Death in Venice,"Thomas Mann, Michael Henry Heim, Michael Cunningham",1912.0,3.73,22848,1133,3.7156398104265405,-0.014360189573459525
5540,Antony and Cleopatra,"William Shakespeare, Cynthia Marshall, Barbara A. Mowat, Paul Werstine",1606.0,3.67,24111,848,3.700854700854701,0.0308547008547011
5785,No Exit,Jean-Paul Sartre,1944.0,4.13,18378,674,4.114583333333333,-0.015416666666666856
5853,Faust,"Johann Wolfgang von Goethe, Walter Kaufmann",1832.0,3.97,20799,831,3.897727272727273,-0.07227272727272727
5907,Our Mutual Friend,Charles Dickens,1865.0,4.07,20659,1102,3.9656652360515023,-0.10433476394849794
5915,Daniel Deronda,"George Eliot, Edmund White",1876.0,3.82,19145,728,3.737864077669903,-0.08213592233009681
5931,Adam Bede,"George Eliot, Joanna Trollope, Hugh Osborne",1859.0,3.77,19423,659,3.834862385321101,0.064862385321101
5940,"Purgatorio (The Divine Comedy, #2)","Dante Alighieri, Robert M. Durling",1320.0,4.01,17533,511,3.8893617021276596,-0.12063829787234015
6101,Meditations on First Philosophy,"René Descartes, Donald A. Cress",1641.0,3.69,15952,367,3.6615384615384614,-0.028461538461538538
6104,Daisy Miller,Henry James,1878.0,3.36,20939,1279,3.3443223443223444,-0.015677655677655444
6156,Why I Am Not a Christian and Other Essays on Religion and Related Subjects,"Bertrand Russell, Paul  Edwards",1927.0,4.03,14962,506,4.0,-0.03000000000000025
6173,Democracy in America ,"Alexis de Tocqueville, Isaac Kramnick, Gerald Bevan",1835.0,3.99,17726,590,3.928270042194093,-0.061729957805907176
6190,The Pickwick Papers,Charles Dickens,1837.0,3.82,20011,1175,3.8674698795180724,0.04746987951807258
6195,Amerika,"Franz Kafka, بهرام مقدادی",1927.0,3.73,16845,640,3.6993865030674846,-0.03061349693251536
6225,Utilitarianism,"John Stuart Mill, George Sher",1861.0,3.65,15684,229,3.5487179487179485,-0.10128205128205137
6302,Lady Susan,"Jane Austen, Robert William Chapman",1871.0,3.56,20969,2047,3.514851485148515,-0.04514851485148519
6316,The Anti-Christ,"Friedrich Nietzsche, H.L. Mencken",1888.0,3.91,14903,611,3.8925619834710745,-0.017438016528925626
6354,The Wall,Jean-Paul Sartre,1939.0,4.07,15562,452,4.012269938650307,-0.05773006134969361
6417,The Winter's Tale,William Shakespeare,1600.0,3.69,19971,810,3.5387453874538743,-0.1512546125461256
6530,Titus Andronicus,William Shakespeare,1589.0,3.71,18367,1062,3.622137404580153,-0.08786259541984709
6664,"The Metamorphosis, In the Penal Colony, and Other Stories: The Great Short Works of Franz Kafka",Franz Kafka,1915.0,4.02,13510,228,3.8930232558139535,-0.1269767441860461
6692,The Comedy of Errors,William Shakespeare,1594.0,3.74,18839,782,3.7094594594594597,-0.03054054054054056
6880,Second Treatise of Government,"John Locke, C.B. Macpherson",1689.0,3.75,15287,215,3.6853932584269664,-0.06460674157303359
6896,"Five Dialogues: Euthyphro, Apology, Crito, Meno, Phaedo","Plato, G.M.A. Grube, John M. Cooper",-385.0,4.1,13633,187,4.02906976744186,-0.07093023255813957
7074,"King Henry IV, Part 1 (Wars of the Roses, #2)","William Shakespeare, David Scott Kastan",1597.0,3.81,18748,685,3.7389558232931726,-0.0710441767068275
7198,Existentialism Is a Humanism,"Jean-Paul Sartre, Arlette Elkaïm-Sartre, Annie Cohen-Solal, Carol Macomber",1946.0,3.96,15055,569,3.73728813559322,-0.2227118644067798
7231,Self-Reliance and Other Essays,Ralph Waldo Emerson,1844.0,4.14,14717,282,4.071428571428571,-0.0685714285714285
7309,Death in Venice and Other Tales,"Thomas Mann, Joachim Neugroschel",1911.0,3.87,15874,607,3.820408163265306,-0.04959183673469392
7353,Measure for Measure,"William Shakespeare, Barbara A. Mowat, Paul Werstine",1603.0,3.67,17562,625,3.6603053435114505,-0.009694656488549391
7398,Relativity: The Special and the General Theory,"Albert Einstein, Nigel Calder, Robert W. Lawson",1916.0,4.17,12957,446,4.196428571428571,0.026428571428571246
7416,"The Life and Opinions of Tristram Shandy, Gentleman","Laurence Sterne, Melvyn New",1767.0,3.74,15954,939,3.5849056603773586,-0.15509433962264163
7428,Two Treatises of Government,"John Locke, Peter Laslett, Raymond Geuss",1689.0,3.81,13378,120,3.7848837209302326,-0.025116279069767433
7444,Phenomenology of Spirit,"Georg Wilhelm Friedrich Hegel, A.V. Miller, John Niemeyer Findlay",1807.0,3.91,12263,231,3.7244094488188977,-0.18559055118110246
7575,Double Indemnity,James M. Cain,1936.0,4.12,14770,781,4.093567251461988,-0.026432748538011808
7622,On the Genealogy of Morals/Ecce Homo,"Friedrich Nietzsche, Walter Kaufmann, R.J. Hollingdale",1887.0,4.14,11940,172,4.031446540880503,-0.10855345911949676
7723,Discourse on Method,"René Descartes, Donald A. Cress",1637.0,3.7,12610,288,3.815068493150685,0.11506849315068468
7836,The Wings of the Dove,"Henry James, Amy Bloom, Pierre A. Walker",1901.0,3.81,13643,456,3.7168949771689497,-0.09310502283105038
7859,The Kreutzer Sonata,"Leo Tolstoy, Isai Kamen, Doris Lessing",1889.0,3.9,13242,718,3.8043478260869565,-0.09565217391304337
7952,Sentimental Education,"Gustave Flaubert, Robert Baldick, Geoffrey Wall",1869.0,3.83,13782,510,3.74468085106383,-0.08531914893617021
7990,An Essay Concerning Human Understanding,John Locke,1689.0,3.82,11957,92,3.7628205128205128,-0.057179487179487065
7997,Washington Square,"Henry James, Michael Cunningham",1880.0,3.67,14611,1068,3.625615763546798,-0.044384236453201886
8011,An Enquiry Concerning Human Understanding,David Hume,1748.0,3.9,13144,286,3.9740259740259742,0.07402597402597433
8025,The Wretched of the Earth,"Frantz Fanon, Jean-Paul Sartre, Richard Philcox, Homi K. Bhabha",1961.0,4.16,12233,474,3.9468085106382977,-0.2131914893617024
8037,The Misanthrope,Molière,1666.0,3.78,14435,250,3.6666666666666665,-0.11333333333333329
8149,Pygmalion & My Fair Lady,"George Bernard Shaw, Alan Jay Lerner",1956.0,4.24,13460,63,4.293478260869565,0.0534782608695652
8357,Martin Chuzzlewit,"Charles Dickens, Patricia Ingham, Hablot Knight Browne",1844.0,3.82,12637,424,3.7142857142857144,-0.10571428571428543
8440,The Dead,James Joyce,1914.0,4.09,12015,481,4.096969696969697,0.006969696969696848
8471,Pudd'nhead Wilson,Mark Twain,1893.0,3.74,13549,854,3.7195767195767195,-0.020423280423280676
8472,Metaphysics,"Aristotle, Joe Sachs",-330.0,4.0,10645,129,3.8031496062992125,-0.1968503937007875
8503,Buddenbrooks: The Decline of a Family,"Thomas Mann, John E. Woods, T.J. Reed",1901.0,4.13,15027,674,4.110236220472441,-0.019763779527559144
8570,Eugénie Grandet,"Honoré de Balzac, Sylvia Raphael, Christopher Prendergast",1833.0,3.79,13280,445,3.792307692307692,0.002307692307692122
8611,On the Genealogy of Morals,"Friedrich Nietzsche, Douglas Smith",1887.0,4.1,11809,358,3.975609756097561,-0.12439024390243869
8704,Resurrection,"Leo Tolstoy, Louise Maude, Aylmer Maude",1899.0,4.1,11905,677,4.041666666666667,-0.05833333333333268
8896,Richard II,"William Shakespeare, Roma Gill, Robert          Jackson",1595.0,3.76,14124,628,3.6174863387978142,-0.14251366120218556
8899,Selected Poems,"George Gordon Byron, Peter J. Manning, Susan J. Wolfson",1848.0,4.05,11313,57,3.9767441860465116,-0.07325581395348824
8906,A Modest Proposal and Other Satirical Works,Jonathan Swift,1729.0,4.04,12988,168,4.066929133858268,0.026929133858267562
8916,The Faerie Queene ,"Edmund Spenser, Thomas P. Roche, C. Patrick O'Donnell",1590.0,3.55,13761,287,3.4484848484848483,-0.10151515151515156
8949,"Paradiso (The Divine Comedy, #3)","Dante Alighieri, Dorothy L. Sayers, Barbara Reynolds",1320.0,3.94,12570,397,3.7857142857142856,-0.15428571428571436
9281,"Agamemnon (Oresteia, #1)","Aeschylus, Judith Affleck, Philip de May, Patricia E. Easterling, John     Harrison",-458.0,3.82,11932,187,3.801324503311258,-0.01867549668874169
9304,Poetics,"Aristotle, Malcolm Heath",-335.0,3.81,13141,557,3.6942148760330578,-0.1157851239669423
9311,Groundwork of the Metaphysics of Morals,"Immanuel Kant, Mary J. Gregor, Christine M. Korsgaard",1785.0,3.78,10618,271,3.7563025210084033,-0.023697478991596466
9455,The Old Curiosity Shop,"Charles Dickens, Norman Page",1840.0,3.75,13299,792,3.7161290322580647,-0.03387096774193532
9540,In the Penal Colony,Franz Kafka,1919.0,4.0,11270,575,4.177083333333333,0.17708333333333304
9549,Gargantua and Pantagruel,"François Rabelais, M.A. Screech",1532.0,3.71,11298,334,3.56390977443609,-0.14609022556390983
9605,Essays and Poems,"Ralph Waldo Emerson, Peter Norberg",1856.0,3.98,11967,62,3.8842105263157896,-0.09578947368421042
9612,The Charterhouse of Parma,"Stendhal, Richard Howard, Robert Andrew Parker",1839.0,3.83,11182,381,3.6956521739130435,-0.1343478260869566
9649,Ethics,"Baruch Spinoza, Edwin M. Curley, Stuart Hampshire, Edwin Curley",1677.0,4.01,9913,252,3.88659793814433,-0.12340206185566993
9667,The Gay Science,"Friedrich Nietzsche, Walter Kaufmann",1882.0,4.26,9776,295,4.128440366972477,-0.13155963302752305
9766,The Decline and Fall of the Roman Empire,"Edward Gibbon, Daniel J. Boorstin, Gian Battista Piranesi, Hans-Friedrich Mueller",1776.0,3.96,9750,382,3.9316239316239314,-0.02837606837606854
9995,"Billy Budd, Sailor",Herman Melville,1924.0,3.09,12110,681,3.094059405940594,0.004059405940594285
